,Date,Open,High,Low,Close,DeltaSP500,DeltaSP500-CUM,Delta%-SP500,Delta%-SP500-CUM
116,1928-06-18,18.4,18.4,18.4,18.4,-0.33999999999999986,0.7399999999999984,-0.018143009605122724,0.04671202665807083
117,1928-06-19,18.34,18.34,18.34,18.34,-0.05999999999999872,0.6799999999999997,-0.003260869565217322,0.04345115709285351
118,1928-06-20,18.57,18.57,18.57,18.57,0.23000000000000043,0.9100000000000001,0.012540894220283557,0.055992051313137066
119,1928-06-21,18.56,18.56,18.56,18.56,-0.010000000000001563,0.8999999999999986,-0.0005385029617663738,0.055453548351370695
120,1928-06-22,18.54,18.54,18.54,18.54,-0.019999999999999574,0.879999999999999,-0.0010775862068965287,0.05437596214447417
121,1928-06-25,18.47,18.47,18.47,18.47,-0.07000000000000028,0.8099999999999987,-0.003775620280474665,0.050600341863999504
122,1928-06-26,18.68,18.68,18.68,18.68,0.21000000000000085,1.0199999999999996,0.011369788846778606,0.06197013071077811
123,1928-06-27,18.86,18.86,18.86,18.86,0.17999999999999972,1.1999999999999993,0.009635974304068507,0.07160610501484661
124,1928-06-28,19.07,19.07,19.07,19.07,0.21000000000000085,1.4100000000000001,0.011134676564156992,0.08274078157900361
125,1928-06-29,19.14,19.14,19.14,19.14,0.07000000000000028,1.4800000000000004,0.0036706869428421753,0.08641146852184578
126,1928-07-02,18.98,18.98,18.98,18.98,-0.16000000000000014,1.3200000000000003,-0.008359456635318712,0.07805201188652706
127,1928-07-03,19.29,19.29,19.29,19.29,0.3099999999999987,1.629999999999999,0.016332982086406676,0.09438499397293373
128,1928-07-05,19.48,19.48,19.48,19.48,0.19000000000000128,1.8200000000000003,0.00984966303784351,0.10423465701077725
129,1928-07-06,19.39,19.39,19.39,19.39,-0.08999999999999986,1.7300000000000004,-0.004620123203285414,0.09961453380749183
130,1928-07-09,19.46,19.46,19.46,19.46,0.07000000000000028,1.8000000000000007,0.003610108303249112,0.10322464211074094
131,1928-07-10,19.43,19.43,19.43,19.43,-0.030000000000001137,1.7699999999999996,-0.0015416238437821754,0.10168301826695876
132,1928-07-11,18.95,18.95,18.95,18.95,-0.4800000000000004,1.2899999999999991,-0.024704065877509028,0.07697895238944974
133,1928-07-12,18.81,18.81,18.81,18.81,-0.14000000000000057,1.1499999999999986,-0.007387862796833803,0.06959108959261594
134,1928-07-13,18.96,18.96,18.96,18.96,0.15000000000000213,1.3000000000000007,0.007974481658692299,0.07756557125130824
135,1928-07-16,18.7,18.7,18.7,18.7,-0.26000000000000156,1.0399999999999991,-0.013713080168776454,0.06385249108253178
136,1928-07-17,18.8,18.8,18.8,18.8,0.10000000000000142,1.1400000000000006,0.0053475935828877766,0.06920008466541956
137,1928-07-18,19.03,19.03,19.03,19.03,0.23000000000000043,1.370000000000001,0.012234042553191512,0.08143412721861107
138,1928-07-19,18.99,18.99,18.99,18.99,-0.0400000000000027,1.3299999999999983,-0.002101944298476232,0.07933218292013483
139,1928-07-20,19.03,19.03,19.03,19.03,0.0400000000000027,1.370000000000001,0.0021063717746183626,0.0814385546947532
140,1928-07-23,19.12,19.12,19.12,19.12,0.08999999999999986,1.4600000000000009,0.004729374671571196,0.08616792936632439
141,1928-07-24,19.09,19.09,19.09,19.09,-0.030000000000001137,1.4299999999999997,-0.001569037656903825,0.08459889170942057
142,1928-07-25,19.2,19.2,19.2,19.2,0.10999999999999943,1.5399999999999991,0.005762179151388131,0.0903610708608087
143,1928-07-26,19.24,19.24,19.24,19.24,0.03999999999999915,1.5799999999999983,0.002083333333333289,0.09244440419414199
144,1928-07-27,19.42,19.42,19.42,19.42,0.18000000000000327,1.7600000000000016,0.009355509355509526,0.10179991354965151
145,1928-07-30,19.47,19.47,19.47,19.47,0.04999999999999716,1.8099999999999987,0.002574665293511697,0.1043745788431632
146,1928-07-31,19.43,19.43,19.43,19.43,-0.03999999999999915,1.7699999999999996,-0.0020544427324087904,0.10232013611075441
147,1928-08-01,19.42,19.42,19.42,19.42,-0.00999999999999801,1.7600000000000016,-0.0005146680391146686,0.10180546807163975
148,1928-08-02,19.33,19.33,19.33,19.33,-0.09000000000000341,1.6699999999999982,-0.0046343975283214935,0.09717107054331825
149,1928-08-03,19.36,19.36,19.36,19.36,0.030000000000001137,1.6999999999999993,0.0015519917227108711,0.09872306226602912
150,1928-08-06,19.58,19.58,19.58,19.58,0.21999999999999886,1.9199999999999982,0.011363636363636305,0.11008669862966541
151,1928-08-07,19.49,19.49,19.49,19.49,-0.08999999999999986,1.8299999999999983,-0.004596527068437174,0.10549017156122824
152,1928-08-08,19.25,19.25,19.25,19.25,-0.23999999999999844,1.5899999999999999,-0.012314007183170777,0.09317616437805747
153,1928-08-09,19.3,19.3,19.3,19.3,0.05000000000000071,1.6400000000000006,0.0025974025974026343,0.0957735669754601
154,1928-08-10,19.25,19.25,19.25,19.25,-0.05000000000000071,1.5899999999999999,-0.00259067357512957,0.09318289340033054
155,1928-08-13,19.29,19.29,19.29,19.29,0.03999999999999915,1.629999999999999,0.0020779220779220337,0.09526081547825258
156,1928-08-14,19.13,19.13,19.13,19.13,-0.16000000000000014,1.4699999999999989,-0.008294453084499748,0.08696636239375283
157,1928-08-15,19.47,19.47,19.47,19.47,0.33999999999999986,1.8099999999999987,0.017773131207527437,0.10473949360128026
158,1928-08-16,19.61,19.61,19.61,19.61,0.14000000000000057,1.9499999999999993,0.007190549563430949,0.11193004316471121
159,1928-08-17,19.64,19.64,19.64,19.64,0.030000000000001137,1.9800000000000004,0.0015298317185110219,0.11345987488322223
